"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Black Coupon","Position (m) Black Coupon","Force (N) Black Coupon","Speed (mm/min) Black Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Long 1","Position (m) Long 1","Force (N) Long 1","Speed (mm/min) Long 1","Time (s) Long 2","Position (m) Long 2","Force (N) Long 2","Speed (mm/min) Long 2","Time (s) Short 1","Position (m) Short 1","Force (N) Short 1","Speed (mm/min) Short 1","Time (s) Short 2","Position (m) Short 2","Force (N) Short 2","Speed (mm/min) Short 2","Time (s) Polythylene 1","Position (m) Polythylene 1","Force (N) Polythylene 1","Speed (mm/min) Polythylene 1","Time (s) Polythylene 2","Position (m) Polythylene 2","Force (N) Polythylene 2","Speed (mm/min) Polythylene 2","Time (s) Polythylene 3","Position (m) Polythylene 3","Force (N) Polythylene 3","Speed (mm/min) Polythylene 3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.400,-0.16109,-22,-118.81,83.400,-0.13025,-146,-96.14,83.400,-0.08421,-35,-60.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.600,-0.16151,-24,-121.63,83.600,-0.13060,-147,-91.26,83.600,-0.08441,-35,-61.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.800,-0.16192,-24,-119.57,83.800,-0.13087,-144,-87.92,83.800,-0.08460,-33,-64.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.000,-0.16233,-24,-112.43,84.000,-0.13112,-142,-92.29,84.000,-0.08486,-37,-64.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.200,-0.16266,-22,-106.62,84.200,-0.13149,-146,-95.75,84.200,-0.08504,-35,-62.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.400,-0.16301,-22,-107.76,84.400,-0.13183,-147,-93.12,84.400,-0.08525,-35,-62.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.600,-0.16336,-22,-115.69,84.600,-0.13208,-144,-88.43,84.600,-0.08545,-34,-63.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.800,-0.16378,-24,-120.00,84.800,-0.13239,-144,-84.72,84.800,-0.08569,-37,-61.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.000,-0.16421,-26,-116.20,85.000,-0.13269,-144,-83.67,85.000,-0.08586,-34,-56.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.200,-0.16457,-24,-102.70,85.200,-0.13291,-141,-83.73,85.200,-0.08606,-34,-54.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.400,-0.16490,-22,-93.08,85.400,-0.13323,-144,-86.80,85.400,-0.08622,-32,-55.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.600,-0.16514,-19,-95.56,85.600,-0.13352,-144,-88.89,85.600,-0.08643,-33,-52.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.800,-0.16549,-22,-103.58,85.800,-0.13382,-144,-88.99,85.800,-0.08660,-33,-50.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.000,-0.16589,-26,-108.25,86.000,-0.13411,-144,-93.37,86.000,-0.08674,-30,-47.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.200,-0.16623,-25,-105.50,86.200,-0.13443,-145,-96.39,86.200,-0.08692,-31,-48.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.400,-0.16657,-25,-105.86,86.400,-0.13478,-146,-95.28,86.400,-0.08705,-30,-51.40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.600,-0.16692,-24,-109.98,86.600,-0.13508,-145,-91.44,86.600,-0.08724,-31,-53.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.800,-0.16732,-26,-114.39,86.800,-0.13537,-144,-87.07,86.800,-0.08744,-33,-54.73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.000,-0.16769,-25,-115.44,87.000,-0.13567,-145,-88.65,87.000,-0.08760,-32,-53.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.200,-0.16809,-26,-111.23,87.200,-0.13593,-143,-93.94,87.200,-0.08780,-34,-55.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.400,-0.16845,-24,-103.45,87.400,-0.13629,-146,-97.53,87.400,-0.08797,-33,-55.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.600,-0.16878,-23,-95.96,87.600,-0.13662,-147,-98.33,87.600,-0.08818,-35,-52.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.800,-0.16907,-22,-95.19,87.800,-0.13692,-145,-97.19,87.800,-0.08832,-33,-51.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.000,-0.16939,-22,-100.25,88.000,-0.13726,-145,-100.68,88.000,-0.08848,-32,-54.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.200,-0.16974,-25,-108.19,88.200,-0.13759,-145,-102.74,88.200,-0.08870,-34,-59.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.400,-0.17011,-26,-113.78,88.400,-0.13796,-146,-99.57,88.400,-0.08890,-35,-60.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.600,-0.17051,-27,-114.17,88.600,-0.13827,-146,-95.13,88.600,-0.08910,-35,-57.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.800,-0.17089,-27,-111.51,88.800,-0.13857,-144,-92.58,88.800,-0.08928,-33,-55.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.000,-0.17124,-24,-107.86,89.000,-0.13889,-145,-91.79,89.000,-0.08947,-34,-55.91
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.200,-0.17161,-26,-107.35,89.200,-0.13920,-146,-84.84,89.200,-0.08965,-33,-55.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.400,-0.17195,-24,-108.32,89.400,-0.13948,-144,-79.13,89.400,-0.08985,-33,-53.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.600,-0.17233,-26,-108.26,89.600,-0.13968,-141,-83.24,89.600,-0.09001,-32,-53.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.800,-0.17269,-27,-106.90,89.800,-0.14000,-145,-92.75,89.800,-0.09017,-32,-56.51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.000,-0.17304,-26,-103.41,90.000,-0.14035,-148,-95.58,90.000,-0.09039,-35,-60.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.200,-0.17338,-26,-104.65,90.200,-0.14066,-148,-89.35,90.200,-0.09060,-36,-59.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.400,-0.17371,-25,-107.88,90.400,-0.14092,-146,-85.22,90.400,-0.09080,-36,-56.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.600,-0.17411,-28,-111.31,90.600,-0.14121,-146,-83.54,90.600,-0.09095,-33,-55.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.800,-0.17446,-27,-111.41,90.800,-0.14150,-147,-84.45,90.800,-0.09116,-36,-60.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.000,-0.17485,-28,-109.13,91.000,-0.14175,-145,-89.15,91.000,-0.09135,-34,-64.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.200,-0.17520,-26,-110.18,91.200,-0.14208,-147,-95.53,91.200,-0.09161,-38,-64.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.400,-0.17556,-26,-114.30,91.400,-0.14242,-149,-98.13,91.400,-0.09180,-36,-60.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.600,-0.17596,-27,-121.34,91.600,-0.14274,-148,-95.50,91.600,-0.09200,-35,-57.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.800,-0.17638,-28,-125.16,91.800,-0.14305,-148,-95.98,91.800,-0.09217,-33,-59.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.000,-0.17681,-28,-125.64,92.000,-0.14336,-149,-99.60,92.000,-0.09240,-35,-60.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.200,-0.17721,-26,-122.21,92.200,-0.14372,-149,-102.17,92.200,-0.09259,-35,-59.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.400,-0.17764,-27,-115.36,92.400,-0.14406,-149,-102.72,92.400,-0.09278,-34,-57.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.600,-0.17799,-24,-110.12,92.600,-0.14439,-148,-100.50,92.600,-0.09298,-34,-57.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.800,-0.17833,-22,-109.51,92.800,-0.14474,-148,-95.64,92.800,-0.09317,-34,-58.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.000,-0.17872,-24,-114.98,93.000,-0.14505,-146,-86.38,93.000,-0.09336,-34,-62.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.200,-0.17910,-26,-119.93,93.200,-0.14532,-144,-81.23,93.200,-0.09358,-35,-65.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.400,-0.17952,-28,-122.42,93.400,-0.14555,-142,-85.69,93.400,-0.09381,-36,-65.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.600,-0.17993,-28,-120.72,93.600,-0.14587,-146,-91.61,93.600,-0.09402,-35,-62.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.800,-0.18034,-27,-112.54,93.800,-0.14621,-148,-93.20,93.800,-0.09423,-34,-58.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.000,-0.18070,-25,-104.28,94.000,-0.14649,-148,-92.55,94.000,-0.09441,-33,-54.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.200,-0.18100,-22,-101.89,94.200,-0.14679,-148,-96.14,94.200,-0.09458,-32,-53.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.400,-0.18135,-23,-107.08,94.400,-0.14714,-149,-100.61,94.400,-0.09475,-31,-54.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.600,-0.18173,-25,-112.85,94.600,-0.14748,-149,-100.46,94.600,-0.09497,-34,-55.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.800,-0.18212,-27,-115.59,94.800,-0.14781,-148,-95.83,94.800,-0.09512,-32,-56.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.000,-0.18250,-27,-117.41,95.000,-0.14813,-147,-90.97,95.000,-0.09532,-33,-61.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.200,-0.18289,-27,-117.95,95.200,-0.14841,-146,-87.80,95.200,-0.09553,-34,-65.68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.400,-0.18330,-28,-114.34,95.400,-0.14870,-145,-89.21,95.400,-0.09579,-38,-66.22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.600,-0.18368,-27,-102.60,95.600,-0.14899,-146,-94.76,95.600,-0.09598,-36,-63.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.800,-0.18400,-25,-93.68,95.800,-0.14933,-148,-96.67,95.800,-0.09620,-36,-64.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.000,-0.18424,-21,-96.11,96.000,-0.14967,-149,-94.02,96.000,-0.09639,-35,-66.80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.200,-0.18461,-25,-105.93,96.200,-0.14995,-146,-91.70,96.200,-0.09666,-37,-65.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.400,-0.18500,-28,-111.84,96.400,-0.15025,-146,-95.25,96.400,-0.09685,-35,-60.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.600,-0.18537,-28,-107.38,96.600,-0.15059,-148,-101.05,96.600,-0.09705,-34,-54.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.800,-0.18572,-27,-103.55,96.800,-0.15094,-149,-100.04,96.800,-0.09720,-32,-55.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.000,-0.18603,-25,-105.35,97.000,-0.15128,-148,-93.07,97.000,-0.09741,-32,-54.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.200,-0.18640,-26,-110.74,97.200,-0.15156,-147,-90.88,97.200,-0.09760,-33,-53.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.400,-0.18679,-27,-115.21,97.400,-0.15183,-145,-91.06,97.400,-0.09775,-31,-51.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.600,-0.18717,-27,-115.66,97.600,-0.15221,-149,-91.25,97.600,-0.09793,-32,-53.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.800,-0.18756,-27,-112.94,97.800,-0.15245,-146,-90.64,97.800,-0.09810,-32,-54.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.000,-0.18794,-25,-108.95,98.000,-0.15276,-147,-91.60,98.000,-0.09831,-34,-53.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.200,-0.18828,-24,-106.63,98.200,-0.15309,-148,-96.93,98.200,-0.09847,-33,-52.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.400,-0.18863,-24,-108.52,98.400,-0.15340,-148,-98.74,98.400,-0.09863,-32,-53.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.600,-0.18900,-24,-111.34,98.600,-0.15375,-149,-100.52,98.600,-0.09883,-33,-55.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.800,-0.18939,-25,-109.31,98.800,-0.15407,-148,-101.44,98.800,-0.09901,-32,-53.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.000,-0.18975,-25,-104.21,99.000,-0.15443,-149,-100.72,99.000,-0.09919,-33,-52.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.200,-0.19007,-23,-105.51,99.200,-0.15476,-148,-98.21,99.200,-0.09933,-31,-51.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.400,-0.19041,-22,-111.50,99.400,-0.15509,-146,-93.30,99.400,-0.09955,-32,-48.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.600,-0.19085,-26,-115.02,99.600,-0.15538,-145,-90.85,99.600,-0.09969,-32,-48.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.800,-0.19121,-25,-114.33,99.800,-0.15567,-144,-91.44,99.800,-0.09981,-30,-48.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.000,-0.19157,-24,-113.45,100.000,-0.15599,-145,-96.04,100.000,-0.10003,-33,-49.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.200,-0.19197,-24,-116.24,100.200,-0.15631,-145,-101.46,100.200,-0.10017,-32,-47.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.400,-0.19235,-24,-117.79,100.400,-0.15667,-147,-104.73,100.400,-0.10033,-32,-44.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.600,-0.19275,-24,-118.30,100.600,-0.15702,-148,-104.99,100.600,-0.10047,-32,-50.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.800,-0.19315,-25,-118.17,100.800,-0.15737,-147,-101.00,100.800,-0.10062,-32,-56.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.000,-0.19354,-24,-117.41,101.000,-0.15770,-147,-93.96,101.000,-0.10088,-37,-60.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.200,-0.19392,-24,-113.76,101.200,-0.15800,-145,-89.04,101.200,-0.10105,-37,-60.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.400,-0.19432,-25,-109.48,101.400,-0.15827,-144,-90.33,101.400,-0.10125,-37,-62.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.600,-0.19464,-23,-110.01,101.600,-0.15859,-145,-89.92,101.600,-0.10146,-37,-65.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.800,-0.19501,-23,-114.64,101.800,-0.15893,-147,-85.89,101.800,-0.10172,-39,-62.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.000,-0.19543,-26,-119.78,102.000,-0.15914,-143,-81.89,102.000,-0.10189,-37,-56.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.200,-0.19582,-25,-120.68,102.200,-0.15943,-144,-83.98,102.200,-0.10206,-35,-52.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.400,-0.19623,-25,-120.18,102.400,-0.15972,-144,-90.57,102.400,-0.10224,-35,-55.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.600,-0.19663,-25,-118.81,102.600,-0.16003,-145,-91.21,102.600,-0.10243,-35,-56.26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.800,-0.19703,-25,-117.79,102.800,-0.16036,-146,-78.66,102.800,-0.10264,-36,-56.61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.000,-0.19740,-24,-118.21,103.000,-0.16062,-144,-66.32,103.000,-0.10279,-34,-55.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.200,-0.19781,-25,-119.16,103.200,-0.16070,-136,-68.46,103.200,-0.10301,-37,-55.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.400,-0.19821,-25,-120.40,103.400,-0.16101,-141,-83.80,103.400,-0.10317,-35,-55.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.600,-0.19860,-23,-121.83,103.600,-0.16134,-145,-96.61,103.600,-0.10338,-36,-50.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.800,-0.19902,-24,-123.83,103.800,-0.16166,-147,-98.03,103.800,-0.10353,-34,-47.70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.000,-0.19944,-24,-122.43,104.000,-0.16198,-148,-99.02,104.000,-0.10366,-32,-47.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.200,-0.19985,-23,-120.94,104.200,-0.16232,-148,-99.60,104.200,-0.10384,-33,-54.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.400,-0.20022,-22,-117.77,104.400,-0.16265,-148,-99.92,104.400,-0.10402,-34,-55.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.600,-0.20065,-24,-113.39,104.600,-0.16298,-146,-99.83,104.600,-0.10426,-38,-47.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.800,-0.20099,-21,-109.64,104.800,-0.16333,-147,-100.08,104.800,-0.10435,-33,-44.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.000,-0.20135,-20,-109.76,105.000,-0.16365,-146,-99.03,105.000,-0.10447,-31,-49.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.200,-0.20172,-21,-114.26,105.200,-0.16399,-146,-95.86,105.200,-0.10470,-35,-58.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.400,-0.20212,-22,-117.28,105.400,-0.16430,-145,-94.46,105.400,-0.10489,-36,-57.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.600,-0.20251,-23,-118.61,105.600,-0.16459,-145,-94.84,105.600,-0.10510,-37,-51.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.800,-0.20291,-23,-119.50,105.800,-0.16493,-146,-84.57,105.800,-0.10523,-34,-51.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.000,-0.20330,-24,-121.06,106.000,-0.16525,-145,-65.16,106.000,-0.10540,-33,-55.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.200,-0.20371,-24,-122.77,106.200,-0.16533,-137,-54.77,106.200,-0.10563,-37,-61.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.400,-0.20412,-25,-123.28,106.400,-0.16550,-134,-67.21,106.400,-0.10583,-36,-61.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.600,-0.20454,-25,-121.95,106.600,-0.16578,-140,-88.79,106.600,-0.10604,-37,-59.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.800,-0.20494,-25,-120.56,106.800,-0.16614,-146,-97.75,106.800,-0.10621,-36,-59.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.000,-0.20534,-25,-116.72,107.000,-0.16646,-148,-94.22,107.000,-0.10643,-37,-60.39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.200,-0.20574,-25,-102.63,107.200,-0.16677,-149,-90.14,107.200,-0.10662,-35,-60.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.400,-0.20608,-23,-88.70,107.400,-0.16704,-146,-90.65,107.400,-0.10684,-37,-57.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.600,-0.20625,-18,-86.27,107.600,-0.16737,-147,-92.93,107.600,-0.10701,-34,-54.87
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.800,-0.20660,-20,-94.67,107.800,-0.16768,-147,-96.67,107.800,-0.10719,-33,-55.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.000,-0.20694,-24,-103.32,108.000,-0.16799,-147,-98.71,108.000,-0.10737,-33,-58.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.200,-0.20728,-24,-107.04,108.200,-0.16835,-148,-99.92,108.200,-0.10759,-34,-58.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.400,-0.20764,-26,-112.29,108.400,-0.16867,-147,-98.91,108.400,-0.10778,-35,-55.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.600,-0.20804,-27,-116.71,108.600,-0.16900,-146,-95.73,108.600,-0.10795,-33,-52.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.800,-0.20842,-26,-117.00,108.800,-0.16932,-146,-92.87,108.800,-0.10812,-33,-53.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.000,-0.20883,-26,-111.84,109.000,-0.16961,-146,-86.08,109.000,-0.10830,-33,-56.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.200,-0.20919,-25,-103.43,109.200,-0.16991,-145,-82.87,109.200,-0.10851,-35,-58.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.400,-0.20951,-22,-95.46,109.400,-0.17013,-142,-87.37,109.400,-0.10868,-33,-58.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.600,-0.20981,-21,-97.98,109.600,-0.17047,-146,-86.89,109.600,-0.10890,-35,-56.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.800,-0.21012,-21,-106.95,109.800,-0.17081,-148,-80.93,109.800,-0.10907,-34,-55.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.000,-0.21054,-25,-115.08,110.000,-0.17097,-143,-76.94,110.000,-0.10925,-34,-53.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.200,-0.21091,-26,-118.07,110.200,-0.17124,-143,-84.70,110.200,-0.10943,-34,-55.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.400,-0.21131,-26,-116.52,110.400,-0.17157,-148,-97.95,110.400,-0.10961,-34,-55.69
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.600,-0.21171,-26,-115.92,110.600,-0.17190,-150,-104.09,110.600,-0.10982,-35,-56.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.800,-0.21208,-25,-115.48,110.800,-0.17227,-151,-107.00,110.800,-0.10997,-33,-57.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.000,-0.21247,-24,-115.04,111.000,-0.17262,-150,-106.34,111.000,-0.11020,-35,-57.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.200,-0.21287,-24,-113.32,111.200,-0.17299,-149,-97.11,111.200,-0.11038,-34,-55.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.400,-0.21322,-24,-102.22,111.400,-0.17331,-149,-88.76,111.400,-0.11056,-34,-53.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.600,-0.21359,-23,-74.46,111.600,-0.17353,-144,-88.33,111.600,-0.11073,-33,-54.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.800,-0.21379,-18,-39.09,111.800,-0.17386,-147,-92.45,111.800,-0.11092,-33,-55.59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.000,-0.21379,-8,-13.69,112.000,-0.17420,-148,-95.08,112.000,-0.11112,-34,-55.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.200,-0.21381,-3,-8.27,112.200,-0.17448,-147,-94.29,112.200,-0.11128,-33,-52.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.400,-0.21385,-1,-10.40,112.400,-0.17481,-148,-93.66,112.400,-0.11147,-33,-51.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.600,-0.21390,-2,-11.94,112.600,-0.17514,-149,-85.32,112.600,-0.11163,-32,-51.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.800,-0.21391,0,-14.76,112.800,-0.17542,-147,-75.46,112.800,-0.11181,-33,-51.50
