"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
7.600,-0.00754,1944,-195.52,7.600,-6.87284E-4,104,-0.28,7.600,-1.96100E-4,15,-6.29,7.600,-8.11995E-6,2,-4.22,7.600,3.81382E-4,93,10.85,7.600,-0.00132,560,23.94,7.600,-3.05412E-5,1,-0.91,7.600,-0.00184,322,19.75,7.600,-0.00199,219,0.20,7.600,0.00452,-2,70.43,7.600,0.00440,166,82.24,7.600,0.00774,238,128.69,,,,
7.800,-0.00818,1961,-106.11,7.800,-6.92452E-4,106,-1.34,7.800,-2.32007E-4,18,-6.89,7.800,-5.63163E-5,4,-3.32,7.800,4.13738E-4,101,18.21,7.800,-0.00125,583,23.03,7.800,-3.05412E-5,1,-0.91,7.800,-0.00177,344,25.41,7.800,-0.00200,232,1.20,7.800,0.00473,-1,71.60,7.800,0.00469,161,81.82,7.800,0.00818,227,125.36,,,,
8.000,-0.00825,1963,-26.35,8.000,-6.94401E-4,108,-1.77,8.000,-2.47996E-4,19,-6.49,8.000,-4.43198E-5,3,0.90,8.000,4.81503E-4,105,28.27,8.000,-0.00118,605,22.69,8.000,-3.05412E-5,1,-0.91,8.000,-0.00167,371,30.07,8.000,-0.00198,242,2.33,8.000,0.00500,-2,72.25,8.000,0.00496,158,81.86,8.000,0.00859,210,122.75,,,,
8.200,-0.00800,1957,-34.37,8.200,-7.15212E-4,112,-1.32,8.200,-2.65376E-4,20,-5.88,8.200,-3.83085E-5,3,3.31,8.200,6.11141E-4,104,37.53,8.200,-0.00110,630,23.12,8.200,-3.66230E-5,1,-0.61,8.200,-0.00156,399,30.50,8.200,-0.00198,254,3.42,8.200,0.00522,-2,72.46,8.200,0.00522,152,84.15,8.200,0.00897,204,123.84,,,,
8.400,-0.00825,1963,-112.26,8.400,-6.99875E-4,113,-1.06,8.400,-2.92551E-4,22,-5.26,8.400,-8.11995E-6,2,0.90,8.400,7.49426E-4,103,41.96,8.400,-0.00102,659,20.70,8.400,-4.26959E-5,2,-1.02E-15,8.400,-0.00146,422,28.01,8.400,-0.00196,262,4.15,8.400,0.00547,-1,71.72,8.400,0.00551,151,87.44,8.400,0.00941,197,129.57,,,,
8.600,-0.00887,1978,-129.39,8.600,-7.13426E-4,117,-0.52,8.600,-3.04991E-4,23,-4.70,8.600,-2.62594E-5,3,-1.51,8.600,8.96431E-4,101,41.57,8.600,-9.42970E-4,693,15.39,8.600,-3.05412E-5,1,0.61,8.600,-0.00137,440,25.31,8.600,-0.00195,273,5.06,8.600,0.00571,-1,73.30,8.600,0.00581,145,88.35,8.600,0.00984,189,132.74,,,,
8.800,-0.00963,1994,-59.38,8.800,-7.17292E-4,122,-0.11,8.800,-3.13491E-4,24,-5.21,8.800,-3.83085E-5,3,-0.60,8.800,0.00104,101,38.71,8.800,-9.19194E-4,703,12.03,8.800,-3.66230E-5,1,0.30,8.800,-0.00129,456,22.45,8.800,-0.00193,282,5.89,8.800,0.00595,-1,74.33,8.800,0.00611,139,88.54,8.800,0.01031,180,132.27,,,,
9.000,-0.00921,1985,-8.27,9.000,-7.08163E-4,123,1.44,9.000,-3.38360E-4,26,-5.77,9.000,-3.83085E-5,3,0.91,9.000,0.00116,98,35.06,9.000,-8.91347E-4,711,12.63,9.000,-3.05412E-5,1,0.30,9.000,-0.00121,473,19.56,9.000,-0.00191,289,7.55,9.000,0.00621,-2,76.67,9.000,0.00639,137,89.70,9.000,0.01072,171,129.49,,,,
9.200,-0.00910,1983,-46.98,9.200,-7.07375E-4,127,3.07,9.200,-3.63351E-4,28,-5.48,9.200,-8.11995E-6,2,0.00,9.200,0.00126,98,34.70,9.200,-8.31163E-4,741,14.10,9.200,-3.66230E-5,1,0.61,9.200,-0.00116,482,18.33,9.200,-0.00189,298,9.53,9.200,0.00646,-1,78.61,9.200,0.00671,131,90.05,9.200,0.01117,166,123.67,,,,
9.400,-0.00956,1993,-127.30,9.400,-6.94568E-4,130,4.56,9.400,-3.70528E-4,29,-6.13,9.400,-3.83085E-5,3,-1.51,9.400,0.00137,100,36.60,9.400,-7.78315E-4,743,12.52,9.400,-2.44507E-5,1,-1.02E-15,9.400,-0.00111,493,17.10,9.400,-0.00184,311,10.88,9.400,0.00673,-1,77.52,9.400,0.00701,127,88.92,9.400,0.01157,158,119.64,,,,
9.600,-0.01021,2006,-130.90,9.600,-6.69481E-4,130,5.69,9.600,-3.91012E-4,31,-6.94,9.600,-3.83085E-5,3,-2.11,9.600,0.00152,99,38.83,9.600,-7.50281E-4,756,10.02,9.600,-3.05412E-5,1,-0.61,9.600,-0.00103,508,16.81,9.600,-0.00181,323,11.78,9.600,0.00699,-2,73.76,9.600,0.00729,121,87.50,9.600,0.01194,160,118.55,,,,
9.800,-0.01064,2015,-84.56,9.800,-6.54910E-4,132,6.17,9.800,-4.33387E-4,34,-6.02,9.800,-3.83085E-5,3,-1.20,9.800,0.00164,100,38.52,9.800,-7.21887E-4,770,9.18,9.800,-3.66230E-5,1,-1.52,9.800,-0.00100,513,17.02,9.800,-0.00177,332,14.57,9.800,0.00722,-2,69.85,9.800,0.00759,119,87.02,9.800,0.01235,156,121.83,,,,
