"Time (s) Brass","Position (m) Brass","Force (N) Brass","Speed (mm/min) Brass","Time (s) Black Coupon #1 {bad}","Position (m) Black Coupon #1 {bad}","Force (N) Black Coupon #1 {bad}","Speed (mm/min) Black Coupon #1 {bad}","Time (s) Clear Coupon","Position (m) Clear Coupon","Force (N) Clear Coupon","Speed (mm/min) Clear Coupon","Time (s) Blue Coupon","Position (m) Blue Coupon","Force (N) Blue Coupon","Speed (mm/min) Blue Coupon","Time (s) Orange Coupon","Position (m) Orange Coupon","Force (N) Orange Coupon","Speed (mm/min) Orange Coupon","Time (s) Short I-beam #1","Position (m) Short I-beam #1","Force (N) Short I-beam #1","Speed (mm/min) Short I-beam #1","Time (s) Short I-beam #2","Position (m) Short I-beam #2","Force (N) Short I-beam #2","Speed (mm/min) Short I-beam #2","Time (s) Long I-beam #1","Position (m) Long I-beam #1","Force (N) Long I-beam #1","Speed (mm/min) Long I-beam #1","Time (s) Long I-beam #2","Position (m) Long I-beam #2","Force (N) Long I-beam #2","Speed (mm/min) Long I-beam #2","Time (s) Polyethylene #1","Position (m) Polyethylene #1","Force (N) Polyethylene #1","Speed (mm/min) Polyethylene #1","Time (s) Polyethylene #2","Position (m) Polyethylene #2","Force (N) Polyethylene #2","Speed (mm/min) Polyethylene #2","Time (s) Polyethylene #3","Position (m) Polyethylene #3","Force (N) Polyethylene #3","Speed (mm/min) Polyethylene #3","Time (s) Black coupon #2","Position (m) Black coupon #2","Force (N) Black coupon #2","Speed (mm/min) Black coupon #2"
,,,,,,,,139.400,0.02643,57,26.77,,,,,,,,,,,,,,,,,,,,,,,,,139.400,0.15393,149,73.39,139.400,0.14534,-37,-1.15,,,,,,,,
,,,,,,,,139.600,0.02651,57,26.15,,,,,,,,,,,,,,,,,,,,,,,,,139.600,0.15418,148,72.74,139.600,0.14538,-39,-1.15,,,,,,,,
,,,,,,,,139.800,0.02660,56,24.99,,,,,,,,,,,,,,,,,,,,,,,,,139.800,0.15440,146,72.40,139.800,0.14537,-38,0.00,,,,,,,,
,,,,,,,,140.000,0.02669,56,23.04,,,,,,,,,,,,,,,,,,,,,,,,,140.000,0.15465,147,72.56,140.000,0.14536,-38,-0.38,,,,,,,,
,,,,,,,,140.200,0.02675,57,21.43,,,,,,,,,,,,,,,,,,,,,,,,,140.200,0.15491,148,67.31,140.200,0.14537,-38,1.15,,,,,,,,
,,,,,,,,140.400,0.02682,57,22.11,,,,,,,,,,,,,,,,,,,,,,,,,140.400,0.15513,145,56.26,140.400,0.14537,-38,1.15,,,,,,,,
,,,,,,,,140.600,0.02690,57,23.74,,,,,,,,,,,,,,,,,,,,,,,,,140.600,0.15527,142,43.23,140.600,0.14537,-38,0.00,,,,,,,,
,,,,,,,,140.800,0.02698,57,23.65,,,,,,,,,,,,,,,,,,,,,,,,,140.800,0.15541,138,30.66,140.800,0.14537,-38,5.12E-4,,,,,,,,
,,,,,,,,141.000,0.02706,57,22.48,,,,,,,,,,,,,,,,,,,,,,,,,141.000,0.15549,133,23.53,141.000,0.14537,-38,1.15,,,,,,,,
,,,,,,,,141.200,0.02713,57,22.69,,,,,,,,,,,,,,,,,,,,,,,,,141.200,0.15553,130,24.57,141.200,0.14538,-39,1.15,,,,,,,,
,,,,,,,,141.400,0.02720,57,24.69,,,,,,,,,,,,,,,,,,,,,,,,,141.400,0.15563,131,33.80,141.400,0.14539,-39,-5.12E-4,,,,,,,,
,,,,,,,,141.600,0.02729,57,27.24,,,,,,,,,,,,,,,,,,,,,,,,,141.600,0.15577,138,45.88,141.600,0.14537,-38,0.00,,,,,,,,
,,,,,,,,141.800,0.02739,57,28.11,,,,,,,,,,,,,,,,,,,,,,,,,141.800,0.15593,144,54.80,141.800,0.14537,-38,1.15,,,,,,,,
,,,,,,,,142.000,0.02749,58,26.98,,,,,,,,,,,,,,,,,,,,,,,,,142.000,0.15614,148,60.13,142.000,0.14540,-39,1.53,,,,,,,,
,,,,,,,,142.200,0.02757,57,26.14,,,,,,,,,,,,,,,,,,,,,,,,,142.200,0.15635,148,61.92,142.200,0.14539,-39,1.15,,,,,,,,
,,,,,,,,142.400,0.02765,57,25.71,,,,,,,,,,,,,,,,,,,,,,,,,142.400,0.15655,149,64.84,142.400,0.14539,-39,-0.76,,,,,,,,
,,,,,,,,142.600,0.02774,57,24.38,,,,,,,,,,,,,,,,,,,,,,,,,142.600,0.15676,150,71.27,142.600,0.14540,-39,-1.53,,,,,,,,
,,,,,,,,142.800,0.02783,57,22.00,,,,,,,,,,,,,,,,,,,,,,,,,142.800,0.15703,155,77.17,142.800,0.14537,-38,-0.38,,,,,,,,
,,,,,,,,143.000,0.02788,57,20.16,,,,,,,,,,,,,,,,,,,,,,,,,143.000,0.15729,152,82.02,143.000,0.14538,-39,1.53,,,,,,,,
,,,,,,,,143.200,0.02795,56,20.70,,,,,,,,,,,,,,,,,,,,,,,,,143.200,0.15756,152,83.78,143.200,0.14540,-39,1.15,,,,,,,,
,,,,,,,,143.400,0.02802,56,22.01,,,,,,,,,,,,,,,,,,,,,,,,,143.400,0.15787,150,83.54,143.400,0.14540,-39,-1.15,,,,,,,,
,,,,,,,,143.600,0.02810,56,22.54,,,,,,,,,,,,,,,,,,,,,,,,,143.600,0.15813,150,82.12,143.600,0.14537,-38,-0.77,,,,,,,,
,,,,,,,,143.800,0.02817,57,22.51,,,,,,,,,,,,,,,,,,,,,,,,,143.800,0.15839,148,80.83,143.800,0.14539,-39,1.15,,,,,,,,
,,,,,,,,144.000,0.02825,57,22.76,,,,,,,,,,,,,,,,,,,,,,,,,144.000,0.15867,147,81.05,144.000,0.14540,-39,1.92,,,,,,,,
,,,,,,,,144.200,0.02832,57,24.17,,,,,,,,,,,,,,,,,,,,,,,,,144.200,0.15894,146,78.47,144.200,0.14540,-39,1.15,,,,,,,,
,,,,,,,,144.400,0.02841,57,25.27,,,,,,,,,,,,,,,,,,,,,,,,,144.400,0.15921,144,76.25,144.400,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,144.600,0.02850,58,25.52,,,,,,,,,,,,,,,,,,,,,,,,,144.600,0.15943,146,76.08,144.600,0.14540,-39,-1.53,,,,,,,,
,,,,,,,,144.800,0.02858,59,25.92,,,,,,,,,,,,,,,,,,,,,,,,,144.800,0.15971,148,77.80,144.800,0.14538,-39,-2.68,,,,,,,,
,,,,,,,,145.000,0.02866,58,25.74,,,,,,,,,,,,,,,,,,,,,,,,,145.000,0.15996,146,79.57,145.000,0.14539,-39,-1.15,,,,,,,,
,,,,,,,,145.200,0.02876,57,23.07,,,,,,,,,,,,,,,,,,,,,,,,,145.200,0.16023,145,78.42,145.200,0.14537,-38,0.00,,,,,,,,
,,,,,,,,145.400,0.02883,57,19.30,,,,,,,,,,,,,,,,,,,,,,,,,145.400,0.16050,146,77.91,145.400,0.14540,-39,0.00,,,,,,,,
,,,,,,,,145.600,0.02887,56,18.03,,,,,,,,,,,,,,,,,,,,,,,,,145.600,0.16074,145,78.75,145.600,0.14537,-38,1.15,,,,,,,,
,,,,,,,,145.800,0.02894,56,20.70,,,,,,,,,,,,,,,,,,,,,,,,,145.800,0.16101,145,81.16,145.800,0.14538,-39,0.38,,,,,,,,
,,,,,,,,146.000,0.02901,57,22.88,,,,,,,,,,,,,,,,,,,,,,,,,146.000,0.16129,146,82.72,146.000,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,146.200,0.02910,57,24.33,,,,,,,,,,,,,,,,,,,,,,,,,146.200,0.16157,144,84.21,146.200,0.14537,-38,0.00,,,,,,,,
,,,,,,,,146.400,0.02917,58,23.37,,,,,,,,,,,,,,,,,,,,,,,,,146.400,0.16184,146,85.15,146.400,0.14537,-38,1.92,,,,,,,,
,,,,,,,,146.600,0.02927,56,23.50,,,,,,,,,,,,,,,,,,,,,,,,,146.600,0.16215,146,86.01,146.600,0.14541,-39,0.01,,,,,,,,
,,,,,,,,146.800,0.02931,60,25.88,,,,,,,,,,,,,,,,,,,,,,,,,146.800,0.16241,146,88.15,146.800,0.14540,-39,-1.91,,,,,,,,
,,,,,,,,147.000,0.02943,59,28.14,,,,,,,,,,,,,,,,,,,,,,,,,147.000,0.16272,145,89.73,147.000,0.14534,-37,-1.15,,,,,,,,
,,,,,,,,147.200,0.02953,58,29.08,,,,,,,,,,,,,,,,,,,,,,,,,147.200,0.16304,146,87.94,147.200,0.14540,-39,2.29,,,,,,,,
,,,,,,,,147.400,0.02962,57,24.56,,,,,,,,,,,,,,,,,,,,,,,,,147.400,0.16332,145,82.49,147.400,0.14539,-39,1.91,,,,,,,,
,,,,,,,,147.600,0.02970,56,21.72,,,,,,,,,,,,,,,,,,,,,,,,,147.600,0.16357,142,79.77,147.600,0.14540,-39,-0.77,,,,,,,,
,,,,,,,,147.800,0.02974,56,20.96,,,,,,,,,,,,,,,,,,,,,,,,,147.800,0.16383,143,81.94,147.800,0.14538,-39,0.38,,,,,,,,
,,,,,,,,148.000,0.02984,56,21.83,,,,,,,,,,,,,,,,,,,,,,,,,148.000,0.16412,143,86.16,148.000,0.14540,-39,0.38,,,,,,,,
,,,,,,,,148.200,0.02990,57,23.35,,,,,,,,,,,,,,,,,,,,,,,,,148.200,0.16441,143,87.11,148.200,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,148.400,0.02998,58,23.41,,,,,,,,,,,,,,,,,,,,,,,,,148.400,0.16472,144,86.05,148.400,0.14539,-39,-1.53,,,,,,,,
,,,,,,,,148.600,0.03007,57,23.49,,,,,,,,,,,,,,,,,,,,,,,,,148.600,0.16498,145,85.78,148.600,0.14538,-39,-0.77,,,,,,,,
,,,,,,,,148.800,0.03014,56,22.97,,,,,,,,,,,,,,,,,,,,,,,,,148.800,0.16527,143,86.83,148.800,0.14539,-39,-0.76,,,,,,,,
,,,,,,,,149.000,0.03021,56,22.41,,,,,,,,,,,,,,,,,,,,,,,,,149.000,0.16557,143,86.01,149.000,0.14539,-39,-0.38,,,,,,,,
,,,,,,,,149.200,0.03029,57,23.31,,,,,,,,,,,,,,,,,,,,,,,,,149.200,0.16586,143,82.54,149.200,0.14537,-38,1.15,,,,,,,,
,,,,,,,,149.400,0.03036,58,24.87,,,,,,,,,,,,,,,,,,,,,,,,,149.400,0.16611,142,80.25,149.400,0.14540,-39,1.15,,,,,,,,
,,,,,,,,149.600,0.03046,57,25.06,,,,,,,,,,,,,,,,,,,,,,,,,149.600,0.16638,142,80.64,149.600,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,149.800,0.03055,57,24.58,,,,,,,,,,,,,,,,,,,,,,,,,149.800,0.16665,143,82.86,149.800,0.14537,-38,-2.30,,,,,,,,
,,,,,,,,150.000,0.03061,57,23.40,,,,,,,,,,,,,,,,,,,,,,,,,150.000,0.16693,144,86.22,150.000,0.14538,-39,0.00,,,,,,,,
,,,,,,,,150.200,0.03070,57,23.62,,,,,,,,,,,,,,,,,,,,,,,,,150.200,0.16722,147,89.15,150.200,0.14537,-38,1.92,,,,,,,,
,,,,,,,,150.400,0.03077,58,24.89,,,,,,,,,,,,,,,,,,,,,,,,,150.400,0.16754,144,91.33,150.400,0.14540,-39,1.53,,,,,,,,
,,,,,,,,150.600,0.03086,58,27.44,,,,,,,,,,,,,,,,,,,,,,,,,150.600,0.16782,144,91.72,150.600,0.14539,-39,-0.38,,,,,,,,
,,,,,,,,150.800,0.03095,59,29.88,,,,,,,,,,,,,,,,,,,,,,,,,150.800,0.16815,145,91.41,150.800,0.14540,-39,-1.53,,,,,,,,
,,,,,,,,151.000,0.03107,59,28.66,,,,,,,,,,,,,,,,,,,,,,,,,151.000,0.16844,144,90.65,151.000,0.14537,-38,-8.33E-12,,,,,,,,
,,,,,,,,151.200,0.03116,59,27.05,,,,,,,,,,,,,,,,,,,,,,,,,151.200,0.16875,145,87.35,151.200,0.14539,-39,4.16E-12,,,,,,,,
,,,,,,,,151.400,0.03122,59,26.18,,,,,,,,,,,,,,,,,,,,,,,,,151.400,0.16904,143,82.99,151.400,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,151.600,0.03134,58,26.63,,,,,,,,,,,,,,,,,,,,,,,,,151.600,0.16930,141,78.39,151.600,0.14537,-38,-1.53,,,,,,,,
,,,,,,,,151.800,0.03141,57,25.39,,,,,,,,,,,,,,,,,,,,,,,,,151.800,0.16955,141,76.45,151.800,0.14538,-39,-0.38,,,,,,,,
,,,,,,,,152.000,0.03150,57,23.78,,,,,,,,,,,,,,,,,,,,,,,,,152.000,0.16981,142,77.24,152.000,0.14537,-38,1.53,,,,,,,,
,,,,,,,,152.200,0.03157,59,24.38,,,,,,,,,,,,,,,,,,,,,,,,,152.200,0.17006,141,76.93,152.200,0.14539,-39,2.69,,,,,,,,
,,,,,,,,152.400,0.03166,59,26.61,,,,,,,,,,,,,,,,,,,,,,,,,152.400,0.17033,142,74.98,152.400,0.14540,-39,3.07,,,,,,,,
,,,,,,,,152.600,0.03174,60,28.39,,,,,,,,,,,,,,,,,,,,,,,,,152.600,0.17056,142,72.83,152.600,0.14541,-39,1.92,,,,,,,,
,,,,,,,,152.800,0.03186,58,27.62,,,,,,,,,,,,,,,,,,,,,,,,,152.800,0.17081,140,72.40,152.800,0.14541,-39,0.77,,,,,,,,
,,,,,,,,153.000,0.03194,59,26.68,,,,,,,,,,,,,,,,,,,,,,,,,153.000,0.17104,142,75.05,153.000,0.14541,-39,-0.38,,,,,,,,
,,,,,,,,153.200,0.03202,59,25.55,,,,,,,,,,,,,,,,,,,,,,,,,153.200,0.17130,144,78.91,153.200,0.14541,-39,-1.92,,,,,,,,
,,,,,,,,153.400,0.03212,58,26.75,,,,,,,,,,,,,,,,,,,,,,,,,153.400,0.17157,144,81.16,153.400,0.14540,-39,-2.30,,,,,,,,
,,,,,,,,153.600,0.03219,60,26.26,,,,,,,,,,,,,,,,,,,,,,,,,153.600,0.17186,143,77.87,153.600,0.14538,-39,-1.92,,,,,,,,
,,,,,,,,153.800,0.03230,57,25.98,,,,,,,,,,,,,,,,,,,,,,,,,153.800,0.17211,145,72.03,153.800,0.14540,-39,-0.38,,,,,,,,
,,,,,,,,154.000,0.03236,59,25.56,,,,,,,,,,,,,,,,,,,,,,,,,154.000,0.17232,142,69.54,154.000,0.14538,-39,-0.38,,,,,,,,
,,,,,,,,154.200,0.03247,59,25.37,,,,,,,,,,,,,,,,,,,,,,,,,154.200,0.17255,140,66.33,154.200,0.14540,-39,-1.53,,,,,,,,
,,,,,,,,154.400,0.03254,59,26.22,,,,,,,,,,,,,,,,,,,,,,,,,154.400,0.17281,143,58.46,154.400,0.14537,-38,-2.30,,,,,,,,
,,,,,,,,154.600,0.03263,58,26.02,,,,,,,,,,,,,,,,,,,,,,,,,154.600,0.17295,138,51.46,154.600,0.14537,-38,-0.76,,,,,,,,
,,,,,,,,154.800,0.03272,59,26.54,,,,,,,,,,,,,,,,,,,,,,,,,154.800,0.17309,136,51.21,154.800,0.14536,-38,1.92,,,,,,,,
,,,,,,,,155.000,0.03281,59,26.14,,,,,,,,,,,,,,,,,,,,,,,,,155.000,0.17330,140,57.97,155.000,0.14540,-39,3.06,,,,,,,,
,,,,,,,,155.200,0.03289,59,25.28,,,,,,,,,,,,,,,,,,,,,,,,,155.200,0.17348,141,64.93,155.200,0.14539,-39,0.77,,,,,,,,
,,,,,,,,155.400,0.03298,59,24.01,,,,,,,,,,,,,,,,,,,,,,,,,155.400,0.17372,144,66.46,155.400,0.14540,-39,-2.30,,,,,,,,
,,,,,,,,155.600,0.03305,59,23.31,,,,,,,,,,,,,,,,,,,,,,,,,155.600,0.17397,144,60.41,155.600,0.14537,-38,-2.68,,,,,,,,
,,,,,,,,155.800,0.03313,58,23.38,,,,,,,,,,,,,,,,,,,,,,,,,155.800,0.17414,142,51.87,155.800,0.14537,-38,0.38,,,,,,,,
,,,,,,,,156.000,0.03321,58,24.88,,,,,,,,,,,,,,,,,,,,,,,,,156.000,0.17427,138,47.87,156.000,0.14537,-38,3.45,,,,,,,,
,,,,,,,,156.200,0.03329,60,26.38,,,,,,,,,,,,,,,,,,,,,,,,,156.200,0.17445,138,51.49,156.200,0.14541,-39,1.91,,,,,,,,
,,,,,,,,156.400,0.03339,60,27.33,,,,,,,,,,,,,,,,,,,,,,,,,156.400,0.17461,140,57.79,156.400,0.14540,-39,0.38,,,,,,,,
,,,,,,,,156.600,0.03348,60,27.36,,,,,,,,,,,,,,,,,,,,,,,,,156.600,0.17483,143,62.99,156.600,0.14538,-39,-1.53,,,,,,,,
,,,,,,,,156.800,0.03357,60,26.04,,,,,,,,,,,,,,,,,,,,,,,,,156.800,0.17505,146,67.08,156.800,0.14540,-39,-1.53,,,,,,,,
,,,,,,,,157.000,0.03366,60,24.94,,,,,,,,,,,,,,,,,,,,,,,,,157.000,0.17527,145,63.68,157.000,0.14537,-38,-0.77,,,,,,,,
,,,,,,,,157.200,0.03373,60,24.60,,,,,,,,,,,,,,,,,,,,,,,,,157.200,0.17551,146,53.00,157.200,0.14537,-38,0.38,,,,,,,,
,,,,,,,,157.400,0.03381,59,24.91,,,,,,,,,,,,,,,,,,,,,,,,,157.400,0.17565,145,39.14,157.400,0.14540,-39,0.77,,,,,,,,
,,,,,,,,157.600,0.03390,60,26.48,,,,,,,,,,,,,,,,,,,,,,,,,157.600,0.17574,135,31.40,157.600,0.14539,-39,-0.77,,,,,,,,
,,,,,,,,157.800,0.03398,61,27.39,,,,,,,,,,,,,,,,,,,,,,,,,157.800,0.17582,131,35.24,157.800,0.14537,-38,-0.38,,,,,,,,
,,,,,,,,158.000,0.03409,60,27.21,,,,,,,,,,,,,,,,,,,,,,,,,158.000,0.17596,135,44.09,158.000,0.14538,-39,1.92,,,,,,,,
,,,,,,,,158.200,0.03417,60,26.15,,,,,,,,,,,,,,,,,,,,,,,,,158.200,0.17613,140,52.45,158.200,0.14540,-39,0.77,,,,,,,,
,,,,,,,,158.400,0.03425,60,25.40,,,,,,,,,,,,,,,,,,,,,,,,,158.400,0.17631,141,59.15,158.400,0.14540,-39,-1.15,,,,,,,,
,,,,,,,,158.600,0.03434,60,26.05,,,,,,,,,,,,,,,,,,,,,,,,,158.600,0.17652,145,65.82,158.600,0.14537,-38,-1.92,,,,,,,,
,,,,,,,,158.800,0.03443,61,25.27,,,,,,,,,,,,,,,,,,,,,,,,,158.800,0.17676,148,72.16,158.800,0.14539,-39,0.38,,,,,,,,
,,,,,,,,159.000,0.03452,60,23.91,,,,,,,,,,,,,,,,,,,,,,,,,159.000,0.17700,149,77.85,159.000,0.14537,-38,2.30,,,,,,,,
,,,,,,,,159.200,0.03458,60,24.62,,,,,,,,,,,,,,,,,,,,,,,,,159.200,0.17727,149,83.65,159.200,0.14540,-39,-1.52,,,,,,,,
,,,,,,,,159.400,0.03467,61,27.01,,,,,,,,,,,,,,,,,,,,,,,,,159.400,0.17756,149,88.10,159.400,0.14540,-39,-2.29,,,,,,,,
,,,,,,,,159.600,0.03477,61,29.45,,,,,,,,,,,,,,,,,,,,,,,,,159.600,0.17787,150,89.34,159.600,0.14534,-37,-0.38,,,,,,,,
,,,,,,,,159.800,0.03486,61,29.02,,,,,,,,,,,,,,,,,,,,,,,,,159.800,0.17816,149,90.22,159.800,0.14540,-39,2.29,,,,,,,,
,,,,,,,,160.000,0.03497,60,28.93,,,,,,,,,,,,,,,,,,,,,,,,,160.000,0.17845,146,93.12,160.000,0.14540,-39,1.52,,,,,,,,
,,,,,,,,160.200,0.03505,61,29.31,,,,,,,,,,,,,,,,,,,,,,,,,160.200,0.17878,144,95.38,160.200,0.14538,-39,-1.15,,,,,,,,
,,,,,,,,160.400,0.03517,60,29.30,,,,,,,,,,,,,,,,,,,,,,,,,160.400,0.17911,146,94.67,160.400,0.14538,-39,-5.13E-4,,,,,,,,
,,,,,,,,160.600,0.03526,62,27.08,,,,,,,,,,,,,,,,,,,,,,,,,160.600,0.17941,144,91.19,160.600,0.14539,-39,0.77,,,,,,,,
,,,,,,,,160.800,0.03535,60,24.14,,,,,,,,,,,,,,,,,,,,,,,,,160.800,0.17972,144,88.33,160.800,0.14539,-39,0.00,,,,,,,,
,,,,,,,,161.000,0.03541,61,22.30,,,,,,,,,,,,,,,,,,,,,,,,,161.000,0.18000,144,87.54,161.000,0.14539,-39,,,,,,,,,
,,,,,,,,161.200,0.03550,59,22.05,,,,,,,,,,,,,,,,,,,,,,,,,161.200,0.18029,142,87.67,,,,,,,,,,,,
,,,,,,,,161.400,0.03555,59,23.32,,,,,,,,,,,,,,,,,,,,,,,,,161.400,0.18059,143,87.33,,,,,,,,,,,,
,,,,,,,,161.600,0.03565,59,23.56,,,,,,,,,,,,,,,,,,,,,,,,,161.600,0.18088,143,86.40,,,,,,,,,,,,
,,,,,,,,161.800,0.03573,59,23.99,,,,,,,,,,,,,,,,,,,,,,,,,161.800,0.18116,143,86.33,,,,,,,,,,,,
,,,,,,,,162.000,0.03580,60,23.63,,,,,,,,,,,,,,,,,,,,,,,,,162.000,0.18145,143,85.70,,,,,,,,,,,,
,,,,,,,,162.200,0.03588,60,24.89,,,,,,,,,,,,,,,,,,,,,,,,,162.200,0.18175,141,79.80,,,,,,,,,,,,
,,,,,,,,162.400,0.03597,61,26.60,,,,,,,,,,,,,,,,,,,,,,,,,162.400,0.18201,140,72.16,,,,,,,,,,,,
,,,,,,,,162.600,0.03606,62,26.56,,,,,,,,,,,,,,,,,,,,,,,,,162.600,0.18220,138,69.86,,,,,,,,,,,,
,,,,,,,,162.800,0.03615,61,23.88,,,,,,,,,,,,,,,,,,,,,,,,,162.800,0.18244,137,75.53,,,,,,,,,,,,
,,,,,,,,163.000,0.03622,61,20.99,,,,,,,,,,,,,,,,,,,,,,,,,163.000,0.18271,141,82.31,,,,,,,,,,,,
,,,,,,,,163.200,0.03628,61,20.04,,,,,,,,,,,,,,,,,,,,,,,,,163.200,0.18301,142,83.32,,,,,,,,,,,,
,,,,,,,,163.400,0.03635,60,20.55,,,,,,,,,,,,,,,,,,,,,,,,,163.400,0.18328,143,79.96,,,,,,,,,,,,
,,,,,,,,163.600,0.03642,60,21.07,,,,,,,,,,,,,,,,,,,,,,,,,163.600,0.18354,142,75.29,,,,,,,,,,,,
,,,,,,,,163.800,0.03649,60,21.25,,,,,,,,,,,,,,,,,,,,,,,,,163.800,0.18378,141,73.67,,,,,,,,,,,,
,,,,,,,,164.000,0.03656,62,23.21,,,,,,,,,,,,,,,,,,,,,,,,,164.000,0.18402,141,71.91,,,,,,,,,,,,
,,,,,,,,164.200,0.03664,63,25.79,,,,,,,,,,,,,,,,,,,,,,,,,164.200,0.18427,142,69.24,,,,,,,,,,,,
,,,,,,,,164.400,0.03674,63,27.21,,,,,,,,,,,,,,,,,,,,,,,,,164.400,0.18448,138,68.96,,,,,,,,,,,,
,,,,,,,,164.600,0.03683,63,27.08,,,,,,,,,,,,,,,,,,,,,,,,,164.600,0.18470,139,71.99,,,,,,,,,,,,
,,,,,,,,164.800,0.03692,63,25.18,,,,,,,,,,,,,,,,,,,,,,,,,164.800,0.18497,142,75.37,,,,,,,,,,,,
,,,,,,,,165.000,0.03700,63,24.63,,,,,,,,,,,,,,,,,,,,,,,,,165.000,0.18522,144,75.31,,,,,,,,,,,,
,,,,,,,,165.200,0.03707,63,26.00,,,,,,,,,,,,,,,,,,,,,,,,,165.200,0.18546,143,72.56,,,,,,,,,,,,
,,,,,,,,165.400,0.03717,62,26.65,,,,,,,,,,,,,,,,,,,,,,,,,165.400,0.18571,143,67.01,,,,,,,,,,,,
,,,,,,,,165.600,0.03727,63,26.63,,,,,,,,,,,,,,,,,,,,,,,,,165.600,0.18593,143,60.95,,,,,,,,,,,,
,,,,,,,,165.800,0.03734,63,25.58,,,,,,,,,,,,,,,,,,,,,,,,,165.800,0.18610,137,58.91,,,,,,,,,,,,
,,,,,,,,166.000,0.03744,63,26.43,,,,,,,,,,,,,,,,,,,,,,,,,166.000,0.18630,138,63.54,,,,,,,,,,,,
,,,,,,,,166.200,0.03751,64,28.48,,,,,,,,,,,,,,,,,,,,,,,,,166.200,0.18652,142,64.47,,,,,,,,,,,,
,,,,,,,,166.400,0.03762,64,28.65,,,,,,,,,,,,,,,,,,,,,,,,,166.400,0.18677,144,57.01,,,,,,,,,,,,
,,,,,,,,166.600,0.03772,63,27.21,,,,,,,,,,,,,,,,,,,,,,,,,166.600,0.18691,140,52.23,,,,,,,,,,,,
,,,,,,,,166.800,0.03780,63,25.40,,,,,,,,,,,,,,,,,,,,,,,,,166.800,0.18705,136,54.81,,,,,,,,,,,,
,,,,,,,,167.000,0.03788,63,26.48,,,,,,,,,,,,,,,,,,,,,,,,,167.000,0.18729,140,60.42,,,,,,,,,,,,
,,,,,,,,167.200,0.03797,62,27.64,,,,,,,,,,,,,,,,,,,,,,,,,167.200,0.18749,143,56.85,,,,,,,,,,,,
,,,,,,,,167.400,0.03808,63,27.73,,,,,,,,,,,,,,,,,,,,,,,,,167.400,0.18768,144,47.80,,,,,,,,,,,,
,,,,,,,,167.600,0.03815,64,26.97,,,,,,,,,,,,,,,,,,,,,,,,,167.600,0.18780,139,46.15,,,,,,,,,,,,
,,,,,,,,167.800,0.03825,63,27.20,,,,,,,,,,,,,,,,,,,,,,,,,167.800,0.18794,137,52.02,,,,,,,,,,,,
,,,,,,,,168.000,0.03834,64,28.01,,,,,,,,,,,,,,,,,,,,,,,,,168.000,0.18816,144,56.86,,,,,,,,,,,,
,,,,,,,,168.200,0.03844,64,27.37,,,,,,,,,,,,,,,,,,,,,,,,,168.200,0.18836,144,51.25,,,,,,,,,,,,
,,,,,,,,168.400,0.03853,63,25.65,,,,,,,,,,,,,,,,,,,,,,,,,168.400,0.18851,142,41.82,,,,,,,,,,,,
,,,,,,,,168.600,0.03861,63,23.48,,,,,,,,,,,,,,,,,,,,,,,,,168.600,0.18861,137,39.25,,,,,,,,,,,,
,,,,,,,,168.800,0.03868,64,22.59,,,,,,,,,,,,,,,,,,,,,,,,,168.800,0.18875,137,45.25,,,,,,,,,,,,
,,,,,,,,169.000,0.03876,63,24.02,,,,,,,,,,,,,,,,,,,,,,,,,169.000,0.18891,139,53.58,,,,,,,,,,,,
,,,,,,,,169.200,0.03883,63,26.02,,,,,,,,,,,,,,,,,,,,,,,,,169.200,0.18911,143,53.52,,,,,,,,,,,,
,,,,,,,,169.400,0.03893,63,26.21,,,,,,,,,,,,,,,,,,,,,,,,,169.400,0.18931,147,44.71,,,,,,,,,,,,
,,,,,,,,169.600,0.03902,64,26.26,,,,,,,,,,,,,,,,,,,,,,,,,169.600,0.18941,140,35.30,,,,,,,,,,,,
,,,,,,,,169.800,0.03910,66,25.92,,,,,,,,,,,,,,,,,,,,,,,,,169.800,0.18950,137,34.34,,,,,,,,,,,,
,,,,,,,,170.000,0.03920,65,26.55,,,,,,,,,,,,,,,,,,,,,,,,,170.000,0.18963,137,39.25,,,,,,,,,,,,
,,,,,,,,170.200,0.03928,65,26.12,,,,,,,,,,,,,,,,,,,,,,,,,170.200,0.18978,141,41.86,,,,,,,,,,,,
,,,,,,,,170.400,0.03937,64,24.86,,,,,,,,,,,,,,,,,,,,,,,,,170.400,0.18992,141,40.87,,,,,,,,,,,,
,,,,,,,,170.600,0.03944,65,25.08,,,,,,,,,,,,,,,,,,,,,,,,,170.600,0.19005,142,40.07,,,,,,,,,,,,
,,,,,,,,170.800,0.03953,65,25.05,,,,,,,,,,,,,,,,,,,,,,,,,170.800,0.19018,141,42.81,,,,,,,,,,,,
,,,,,,,,171.000,0.03962,64,24.89,,,,,,,,,,,,,,,,,,,,,,,,,171.000,0.19033,143,43.79,,,,,,,,,,,,
,,,,,,,,171.200,0.03970,63,25.48,,,,,,,,,,,,,,,,,,,,,,,,,171.200,0.19050,145,38.22,,,,,,,,,,,,
